,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole,votingAuthorityShared,votingAuthorityNone
2409,SELECT SECTOR SPDR TR,FINANCIAL,81369Y605,157521440,4189400,SH,SOLE,4189400,0,0
2410,SELECT SECTOR SPDR TR,FINANCIAL,81369Y605,572332160,15221600,SH,SOLE,15221600,0,0
2411,SELECT SECTOR SPDR TR,INDL,81369Y704,8355467,73300,SH,SOLE,73300,0,0
2412,SELECT SECTOR SPDR TR,INDL,81369Y704,63914193,560700,SH,SOLE,560700,0,0
2413,SELECT SECTOR SPDR TR,SBI CONS DISCR,81369Y407,18399549,102900,SH,SOLE,102900,0,0
2414,SELECT SECTOR SPDR TR,SBI CONS DISCR,81369Y407,30991886,173323,SH,SOLE,173323,0,0
2415,SELECT SECTOR SPDR TR,SBI CONS DISCR,81369Y407,265783184,1486400,SH,SOLE,1486400,0,0
2416,SELECT SECTOR SPDR TR,SBI CONS STPLS,81369Y308,20586174,285800,SH,SOLE,285800,0,0
2417,SELECT SECTOR SPDR TR,SBI CONS STPLS,81369Y308,32240628,447600,SH,SOLE,447600,0,0
2418,SELECT SECTOR SPDR TR,SBI HEALTHCARE,81369Y209,8032782,58900,SH,SOLE,58900,0,0
2419,SELECT SECTOR SPDR TR,SBI HEALTHCARE,81369Y209,24480210,179500,SH,SOLE,179500,0,0
2420,SELECT SECTOR SPDR TR,SBI INT-UTILS,81369Y886,5130300,81009,SH,SOLE,81009,0,0
2421,SELECT SECTOR SPDR TR,SBI MATERIALS,81369Y100,1717900,20083,SH,SOLE,20083,0,0
2422,SELECT SECTOR SPDR TR,TECHNOLOGY,81369Y803,13079401,67952,SH,SOLE,67952,0,0
2423,SELECT SECTOR SPDR TR,TECHNOLOGY,81369Y803,49544352,257400,SH,SOLE,257400,0,0
2424,SELECT SECTOR SPDR TR,TECHNOLOGY,81369Y803,393294384,2043300,SH,SOLE,2043300,0,0
2425,SELECT SECTOR SPDR TR,SBI MATERIALS,81369Y100,3139318,36700,SH,SOLE,36700,0,0
2426,SELECT SECTOR SPDR TR,ENERGY,81369Y506,19383808,231200,SH,SOLE,231200,0,0
2427,SELECT SECTOR SPDR TR,SBI INT-UTILS,81369Y886,9752820,154000,SH,SOLE,154000,0,0
2428,SELECT SECTOR SPDR TR,SBI MATERIALS,81369Y100,615888,7200,SH,SOLE,7200,0,0
2429,SELECT SECTOR SPDR TR,ENERGY,81369Y506,93406144,1114100,SH,SOLE,1114100,0,0
2430,SELECT SECTOR SPDR TR,SBI INT-UTILS,81369Y886,21120555,333500,SH,SOLE,333500,0,0
2431,SELECT WATER SOLUTIONS INC,CL A COM,81617J301,6459,851,SH,OTR,0,851,0
2432,SELECT WATER SOLUTIONS INC,CL A COM,81617J301,544522,71742,SH,SOLE,71742,0,0
2433,SELECTIVE INS GROUP INC,COM,816300107,28650,288,SH,OTR,0,288,0
2434,SELECTIVE INS GROUP INC,COM,816300107,4713860,47385,SH,SOLE,47385,0,0
2435,SEMPRA,COM,816851109,1977206,26458,SH,OTR,0,26458,0
2436,SEMPRA,COM,816851109,62212426,832496,SH,SOLE,832496,0,0
2437,SEMTECH CORP,COM,816850101,19018,868,SH,OTR,0,868,0
2438,SEMTECH CORP,COM,816850101,34504460,1574827,SH,SOLE,1574827,0,0
2439,SENSIENT TECHNOLOGIES CORP,COM,81725T100,3877698,58753,SH,SOLE,58753,0,0
2440,SENTINELONE INC,CL A,81730H109,218368,7958,SH,OTR,0,7958,0
2441,SERES THERAPEUTICS INC,COM,81750R102,77015,55011,SH,SOLE,55011,0,0
2442,SERITAGE GROWTH PPTYS,CL A,81752R100,1499572,160382,SH,SOLE,160382,0,0
2443,SERVICE CORP INTL,COM,817565104,265791,3883,SH,OTR,0,3883,0
2444,SERVICE PPTYS TR,COM SH BEN INT,81761L102,8504644,995860,SH,SOLE,995860,0,0
2445,SERVICENOW INC,COM,81762P102,2119470,3000,SH,SOLE,3000,0,0
2446,SERVICENOW INC,COM,81762P102,6782304,9600,SH,SOLE,9600,0,0
2447,SERVICENOW INC,COM,81762P102,96996132,137293,SH,SOLE,137293,0,0
2448,SERVISFIRST BANCSHARES INC,COM,81768T108,289307,4342,SH,SOLE,4342,0,0
2449,SHAKE SHACK INC,CL A,819047101,155504,2098,SH,OTR,0,2098,0
2450,SHAKE SHACK INC,CL A,819047101,9621295,129807,SH,SOLE,129807,0,0
2451,SHAPEWAYS HOLDINGS INC,*W EXP 09/29/202,81947T110,1500,500000,SH,SOLE,500000,0,0
2452,SHELL PLC,SPON ADS,780259305,6573420,99900,SH,SOLE,99900,0,0
2453,SHELL PLC,SPON ADS,780259305,34949867,531153,SH,SOLE,531153,0,0
2454,SHERWIN WILLIAMS CO,COM,824348106,762596,2445,SH,OTR,0,2445,0
2455,SHERWIN WILLIAMS CO,COM,824348106,148579491,476369,SH,SOLE,476369,0,0
2456,SHIFT4 PMTS INC,CL A,82452J109,13009500,175000,SH,SOLE,175000,0,0
2457,SHIFT4 PMTS INC,NOTE        12/1,82452JAB5,27931746,25001000,PRN,SOLE,25001000,0,0
2458,SHOALS TECHNOLOGIES GROUP IN,CL A,82489W107,622,40,SH,SOLE,40,0,0
2459,SHOALS TECHNOLOGIES GROUP IN,CL A,82489W107,276301,17780,SH,OTR,0,17780,0
2460,SHOCKWAVE MED INC,COM,82489T104,55072,289,SH,OTR,0,289,0
2461,SHOCKWAVE MED INC,COM,82489T104,15954636,83725,SH,SOLE,83725,0,0
2462,SHOPIFY INC,CL A,82509L107,1558,20,SH,OTR,0,20,0
2463,SHOPIFY INC,CL A,82509L107,5608800,72000,SH,SOLE,72000,0,0
2464,SHOPIFY INC,CL A,82509L107,5717860,73400,SH,SOLE,73400,0,0
2465,SHOPIFY INC,CL A,82509L107,18740559,240572,SH,SOLE,240572,0,0
2466,SHUTTERSTOCK INC,COM,825690100,2173,45,SH,OTR,0,45,0
2467,SHUTTERSTOCK INC,COM,825690100,1170790,24250,SH,SOLE,24250,0,0
2468,SIBANYE STILLWATER LTD,SPONSORED ADR,82575P107,7942418,1462692,SH,SOLE,1462692,0,0
2469,SI-BONE INC,COM,825704109,10306,491,SH,OTR,0,491,0
2470,SI-BONE INC,COM,825704109,1619085,77136,SH,SOLE,77136,0,0
2471,SIGA TECHNOLOGIES INC,COM,826917106,208516,37235,SH,SOLE,37235,0,0
2472,SIGHT SCIENCES INC,COM,82657M105,116817,22639,SH,SOLE,22639,0,0
2473,SIGMA LITHIUM CORPORATION,COM,826599102,5202450,165000,SH,SOLE,165000,0,0
2474,SIGMA LITHIUM CORPORATION,COM,826599102,10706674,339571,SH,SOLE,339571,0,0
2475,SILGAN HLDGS INC,COM,827048109,28960,640,SH,OTR,0,640,0
2476,SILGAN HLDGS INC,COM,827048109,2643596,58422,SH,SOLE,58422,0,0
2477,SILICON LABORATORIES INC,COM,826919102,23633607,178677,SH,SOLE,178677,0,0
2478,SILICON MOTION TECHNOLOGY CO,SPONSORED ADR,82706C108,26074858,425573,SH,SOLE,425573,0,0
2479,SILK RD MED INC,COM,82710M100,21779,1775,SH,OTR,0,1775,0
2480,SILK RD MED INC,COM,82710M100,507291,41344,SH,SOLE,41344,0,0
2481,SILVERCREST METALS INC,COM,828363101,163180,24913,SH,SOLE,24913,0,0
2482,SIMON PPTY GROUP INC NEW,COM,828806109,10127440,71000,SH,SOLE,71000,0,0
2483,SIMON PPTY GROUP INC NEW,COM,828806109,20839704,146100,SH,SOLE,146100,0,0
2484,SIMPLY GOOD FOODS CO,COM,82900L102,11880000,300000,SH,SOLE,300000,0,0
2485,SIMPLY GOOD FOODS CO,COM,82900L102,25272284,638189,SH,SOLE,638189,0,0
2486,SIRIUS XM HOLDINGS INC,COM,82968B103,277985,50820,SH,OTR,0,50820,0
2487,SIRIUS XM HOLDINGS INC,COM,82968B103,5310276,970800,SH,SOLE,970800,0,0
2488,SIRIUS XM HOLDINGS INC,COM,82968B103,8205000,1500000,SH,SOLE,1500000,0,0
2489,SITE CTRS CORP,COM,82981J109,85774,6293,SH,OTR,0,6293,0
2490,SITE CTRS CORP,COM,82981J109,16463105,1207858,SH,SOLE,1207858,0,0
2491,SITEONE LANDSCAPE SUPPLY INC,COM,82982L103,10075,62,SH,OTR,0,62,0
2492,SITEONE LANDSCAPE SUPPLY INC,COM,82982L103,2438313,15005,SH,SOLE,15005,0,0
