,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole,votingAuthorityShared,votingAuthorityNone
39,ADVANCED DRAIN SYS INC DEL,COM,00790R104,10370657,64659,SH,SOLE,64659,0,0
40,ADVANCED ENERGY INDS,COM,007973100,2402835,22093,SH,SOLE,22093,0,0
41,ADVANCED MICRO DEVICES INC,COM,007903107,8759340,54000,SH,SOLE,54000,0,0
42,ADVANCED MICRO DEVICES INC,COM,007903107,17664669,108900,SH,SOLE,108900,0,0
43,ADVANCED MICRO DEVICES INC,COM,007903107,17879922,110227,SH,SOLE,110227,0,0
44,ADVANTAGE SOLUTIONS INC,COM CL A,00791N102,45125,14014,SH,SOLE,14014,0,0
45,AEGON LTD,AMER REG 1 CERT,0076CA104,904328,147525,SH,SOLE,147525,0,0
46,AEHR TEST SYS,COM,00760J108,158782,14215,SH,SOLE,14215,0,0
47,AERCAP HOLDINGS NV,SHS,N00985106,102682261,1101741,SH,SOLE,1101741,0,0
48,AEROVIRONMENT INC,COM,008073108,394559,2166,SH,SOLE,2166,0,0
49,AFFIRM HLDGS INC,COM CL A,00827B106,5437800,180000,SH,SOLE,180000,0,0
50,AFFIRM HLDGS INC,COM CL A,00827B106,9884803,327203,SH,SOLE,327203,0,0
51,AFLAC INC,COM,001055102,237297,2657,SH,SOLE,2657,0,0
52,AFLAC INC,COM,001055102,6992973,78300,SH,SOLE,78300,0,0
53,AFYA LTD,CL A COM,G01125106,290572,16463,SH,SOLE,16463,0,0
54,AGENUS INC,COM NEW,00847G804,353710,21117,SH,SOLE,21117,0,0
55,AGILENT TECHNOLOGIES INC,COM,00846U101,32952983,254208,SH,SOLE,254208,0,0
56,AGIOS PHARMACEUTICALS INC,COM,00847X104,1802114,41793,SH,SOLE,41793,0,0
57,AIR LEASE CORP,CL A,00912X302,43769284,920877,SH,SOLE,920877,0,0
58,AIR PRODS & CHEMS INC,COM,009158106,64337542,249322,SH,SOLE,249322,0,0
59,AIRBNB INC,COM CL A,009066101,1440485,9500,SH,SOLE,9500,0,0
60,AIRBNB INC,COM CL A,009066101,5049279,33300,SH,SOLE,33300,0,0
61,AIRBNB INC,COM CL A,009066101,215821802,1423345,SH,SOLE,1423345,0,0
62,AIRSCULPT TECHNOLOGIES INC,COM,009496100,1875804,468951,SH,SOLE,468951,0,0
63,AKEBIA THERAPEUTICS INC,COM,00972D105,132494,129896,SH,SOLE,129896,0,0
64,ALAMO GROUP INC,COM,011311107,1646268,9516,SH,SOLE,9516,0,0
65,ALARM COM HLDGS INC,COM,011642105,2808849,44206,SH,SOLE,44206,0,0
66,ALASKA AIR GROUP INC,COM,011659109,139860154,3461885,SH,SOLE,3461885,0,0
67,ALBANY INTL CORP,CL A,012348108,2167156,25662,SH,SOLE,25662,0,0
68,ALBEMARLE CORP,COM,012653101,3706176,38800,SH,SOLE,38800,0,0
69,ALBEMARLE CORP,COM,012653101,6371184,66700,SH,SOLE,66700,0,0
70,ALBEMARLE CORP,COM,012653101,15607872,163399,SH,SOLE,163399,0,0
71,ALBERTSONS COS INC,COMMON STOCK,013091103,71272161,3608717,SH,SOLE,3608717,0,0
72,ALCOA CORP,COM,013872106,9141444,229800,SH,SOLE,229800,0,0
73,ALCOA CORP,COM,013872106,16536546,415700,SH,SOLE,415700,0,0
74,ALCOA CORP,COM,013872106,126345616,3176109,SH,SOLE,3176109,0,0
75,ALCON AG,ORD SHS,H01301128,4752151,53347,SH,SOLE,53347,0,0
76,ALEXANDER & BALDWIN INC NEW,COM,014491104,1971464,116242,SH,SOLE,116242,0,0
77,ALEXANDRIA REAL ESTATE EQ IN,COM,015271109,23623612,201963,SH,SOLE,201963,0,0
78,ALGOMA STL GROUP INC,COM,015658107,175169,25168,SH,SOLE,25168,0,0
79,ALGONQUIN PWR UTILS CORP,COM,015857105,10011505,1708448,SH,SOLE,1708448,0,0
80,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,10413300,154500,SH,SOLE,154500,0,0
81,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,24028100,356500,SH,SOLE,356500,0,0
82,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,28280376,392783,SH,SOLE,392783,0,0
83,ALIGHT INC,COM CL A,01626W101,6013017,814772,SH,SOLE,814772,0,0
84,ALIGN TECHNOLOGY INC,COM,016255101,1657658,6866,SH,SOLE,6866,0,0
85,ALIGN TECHNOLOGY INC,COM,016255101,2728159,11300,SH,SOLE,11300,0,0
86,ALIGNMENT HEALTHCARE INC,COM,01625V104,81656,10442,SH,SOLE,10442,0,0
87,ALKERMES PLC,SHS,G01767105,324723,13474,SH,SOLE,13474,0,0
88,ALLAKOS INC,COM,01671P100,15654,15654,SH,SOLE,15654,0,0
89,ALLEGIANT TRAVEL CO,COM,01748X102,3943055,78500,SH,SOLE,78500,0,0
90,ALLEGIANT TRAVEL CO,COM,01748X102,34700090,690824,SH,SOLE,690824,0,0
91,ALLEGION PLC,ORD SHS,G0176J109,247406,2094,SH,SOLE,2094,0,0
92,ALLEGRO MICROSYSTEMS INC,COM,01749D105,4758638,168507,SH,SOLE,168507,0,0
93,ALLETE INC,COM NEW,018522300,1789944,28708,SH,SOLE,28708,0,0
94,ALLISON TRANSMISSION HLDGS I,COM,01973R101,2089451,27529,SH,SOLE,27529,0,0
95,ALLOGENE THERAPEUTICS INC,COM,019770106,124939,53622,SH,SOLE,53622,0,0
96,ALLOVIR INC,COM,019818103,11534,15947,SH,SOLE,15947,0,0
97,ALLSTATE CORP,COM,020002101,11844856,74188,SH,SOLE,74188,0,0
98,ALLY FINL INC,COM,02005N100,210251,5300,SH,SOLE,5300,0,0
99,ALLY FINL INC,COM,02005N100,404634,10200,SH,SOLE,10200,0,0
100,ALLY FINL INC,COM,02005N100,89641585,2259682,SH,SOLE,2259682,0,0
101,ALPHA METALLURGICAL RESOUR I,COM,020764106,6774519,24149,SH,SOLE,24149,0,0
102,ALPHA TEKNOVA INC,COM,02080L102,1432567,1045669,SH,SOLE,1045669,0,0
103,ALPHABET INC,CAP STK CL A,02079K305,18360612,100600,SH,SOLE,100600,0,0
104,ALPHABET INC,CAP STK CL A,02079K305,27107017,148817,SH,SOLE,148817,0,0
105,ALPHABET INC,CAP STK CL A,02079K305,107994274,591400,SH,SOLE,591400,0,0
106,ALPHABET INC,CAP STK CL C,02079K107,1040909,5675,SH,SOLE,5675,0,0
107,ALPHABET INC,CAP STK CL C,02079K107,17238940,94000,SH,SOLE,94000,0,0
108,ALPHABET INC,CAP STK CL C,02079K107,50661655,276500,SH,SOLE,276500,0,0
109,ALTICE USA INC,CL A,02156K103,6388858,3131793,SH,SOLE,3131793,0,0
110,ALTRIA GROUP INC,COM,02209S103,6832500,150000,SH,SOLE,150000,0,0
111,ALTRIA GROUP INC,COM,02209S103,265160944,5821316,SH,SOLE,5821316,0,0
112,ALUMIS INC,COM,022307102,266000,20000,SH,SOLE,20000,0,0
113,ALVOTECH,ORDINARY SHARES,L01800108,10317079,848444,SH,SOLE,848444,0,0
114,ALX ONCOLOGY HLDGS INC,COM,00166B105,266218,44149,SH,SOLE,44149,0,0
115,A-MARK PRECIOUS METALS INC,COM,00181T107,2160082,66731,SH,SOLE,66731,0,0
116,AMAZON COM INC,COM,023135106,39732200,205600,SH,SOLE,205600,0,0
117,AMAZON COM INC,COM,023135106,157846600,816800,SH,SOLE,816800,0,0
118,AMAZON COM INC,COM,023135106,496025211,2566754,SH,SOLE,2566754,0,0
119,AMBAC FINL GROUP INC,COM NEW,023139884,304475,23750,SH,SOLE,23750,0,0
120,AMBARELLA INC,SHS,G037AX101,19160343,355150,SH,SOLE,355150,0,0
121,AMBEV SA,SPONSORED ADR,02319V103,38528,18794,SH,SOLE,18794,0,0
122,AMC ENTMT HLDGS INC,CL A NEW,00165C302,63425,12736,SH,SOLE,12736,0,0
123,AMC NETWORKS INC,CL A,00164V103,2427259,251269,SH,SOLE,251269,0,0
124,AMDOCS LTD,SHS,G02602103,2878844,36478,SH,SOLE,36478,0,0
125,AMEDISYS INC,COM,023436108,3636106,39609,SH,SOLE,39609,0,0
126,AMER SPORTS INC,COM SHS,G0260P102,5409034,430313,SH,SOLE,430313,0,0
127,AMER STATES WTR CO,COM,029899101,2183559,30089,SH,SOLE,30089,0,0
128,AMEREN CORP,COM,023608102,14124224,198625,SH,SOLE,198625,0,0
129,AMERICAN AIRLINES GROUP INC,NOTE  6.500% 7/0,02376RAF9,20717700,20000000,PRN,SOLE,20000000,0,0
130,AMERICAN AIRLS GROUP INC,COM,02376R102,433939,38300,SH,SOLE,38300,0,0
131,AMERICAN AIRLS GROUP INC,COM,02376R102,4372915,385959,SH,SOLE,385959,0,0
132,AMERICAN AIRLS GROUP INC,COM,02376R102,10039513,886100,SH,SOLE,886100,0,0
133,AMERICAN AXLE & MFG HLDGS IN,COM,024061103,1030815,147470,SH,SOLE,147470,0,0
134,AMERICAN ELEC PWR CO INC,COM,025537101,30579584,348525,SH,SOLE,348525,0,0
135,AMERICAN EXPRESS CO,COM,025816109,1296680,5600,SH,SOLE,5600,0,0
136,AMERICAN EXPRESS CO,COM,025816109,6623719,28606,SH,SOLE,28606,0,0
137,AMERICAN EXPRESS CO,COM,025816109,11276485,48700,SH,SOLE,48700,0,0
138,AMERICAN FINL GROUP INC OHIO,COM,025932104,8878107,72168,SH,SOLE,72168,0,0
139,AMERICAN HOMES 4 RENT,CL A,02665T306,20117755,541382,SH,SOLE,541382,0,0
140,AMERICAN INTL GROUP INC,COM NEW,026874784,1343373,18095,SH,SOLE,18095,0,0
141,AMERICAN INTL GROUP INC,COM NEW,026874784,18560000,250000,SH,SOLE,250000,0,0
142,AMERICAN TOWER CORP NEW,COM,03027X100,2451326,12611,SH,SOLE,12611,0,0
143,AMERICAN WELL CORP,CL A,03044L105,22740,70013,SH,SOLE,70013,0,0
144,AMERICAN WOODMARK CORPORATIO,COM,030506109,1021250,12993,SH,SOLE,12993,0,0
145,AMERICAS CAR-MART INC,COM,03062T105,215672,3582,SH,SOLE,3582,0,0
146,AMERICAS GOLD AND SILVER COR,COM,03062D100,8058,33714,SH,SOLE,33714,0,0
147,AMERICOLD REALTY TRUST INC,COM,03064D108,61652436,2413956,SH,SOLE,2413956,0,0
148,AMERISAFE INC,COM,03071H100,664407,15138,SH,SOLE,15138,0,0
149,AMGEN INC,COM,031162100,2431173,7781,SH,SOLE,7781,0,0
150,AMGEN INC,COM,031162100,4936710,15800,SH,SOLE,15800,0,0
151,AMGEN INC,COM,031162100,11716875,37500,SH,SOLE,37500,0,0
152,AMICUS THERAPEUTICS INC,COM,03152W109,11081632,1117100,SH,SOLE,1117100,0,0
153,AMKOR TECHNOLOGY INC,COM,031652100,7068372,176621,SH,SOLE,176621,0,0
154,AMMO INC,COM,00175J107,172239,102523,SH,SOLE,102523,0,0
155,AMPHENOL CORP NEW,CL A,032095101,211979705,3146500,SH,SOLE,3146500,0,0
156,AMYLYX PHARMACEUTICALS INC,COM,03237H101,43485,22887,SH,SOLE,22887,0,0
157,ANALOG DEVICES INC,COM,032654105,707606,3100,SH,SOLE,3100,0,0
158,ANALOG DEVICES INC,COM,032654105,739106,3238,SH,SOLE,3238,0,0
159,ANALOG DEVICES INC,COM,032654105,7601058,33300,SH,SOLE,33300,0,0
160,ANAVEX LIFE SCIENCES CORP,COM NEW,032797300,102753,24349,SH,SOLE,24349,0,0
161,ANGIODYNAMICS INC,COM,03475V101,118247,19545,SH,SOLE,19545,0,0
162,ANHEUSER BUSCH INBEV SA/NV,SPONSORED ADR,03524A108,2358855,40565,SH,SOLE,40565,0,0
163,ANHEUSER BUSCH INBEV SA/NV,SPONSORED ADR,03524A108,11593586,200000,SH,SOLE,200000,0,0
164,ANHEUSER BUSCH INBEV SA/NV,SPONSORED ADR,03524A108,11593586,200000,SH,SOLE,200000,0,0
165,ANI PHARMACEUTICALS INC,COM,00182C103,766644,12039,SH,SOLE,12039,0,0
166,ANIKA THERAPEUTICS INC,COM,035255108,233999,9238,SH,SOLE,9238,0,0
167,ANNALY CAPITAL MANAGEMENT IN,COM NEW,035710839,17130690,898777,SH,SOLE,898777,0,0
168,ANSYS INC,COM,03662Q105,155496690,483660,SH,SOLE,483660,0,0
169,ANTERIX INC,COM,03676C100,342493,8651,SH,SOLE,8651,0,0
170,ANTERO MIDSTREAM CORP,COM,03676B102,189335,12845,SH,SOLE,12845,0,0
171,ANYWHERE REAL ESTATE INC,COM,75605Y106,5132582,1550629,SH,SOLE,1550629,0,0
172,AON PLC,SHS CL A,G0403H108,2051243,6987,SH,SOLE,6987,0,0
173,APA CORPORATION,COM,03743Q108,17566465,596687,SH,SOLE,596687,0,0
174,APARTMENT INVT & MGMT CO,CL A,03748R747,11994511,1446865,SH,SOLE,1446865,0,0
175,APELLIS PHARMACEUTICALS INC,COM,03753U106,7670235,199954,SH,SOLE,199954,0,0
176,API GROUP CORP,COM STK,00187Y100,1443713,38366,SH,SOLE,38366,0,0
177,APOGEE ENTERPRISES INC,COM,037598109,1330405,21173,SH,SOLE,21173,0,0
178,APOLLO GLOBAL MGMT INC,COM,03769M106,111804852,946937,SH,SOLE,946937,0,0
179,APPIAN CORP,CL A,03782L101,4380855,141959,SH,SOLE,141959,0,0
180,APPLE HOSPITALITY REIT INC,COM NEW,03784Y200,38691958,2661070,SH,SOLE,2661070,0,0
181,APPLE INC,COM,037833100,294994372,1400600,SH,SOLE,1400600,0,0
182,APPLE INC,COM,037833100,552739755,2624346,SH,SOLE,2624346,0,0
183,APPLE INC,COM,037833100,1004825896,4770800,SH,SOLE,4770800,0,0
184,APPLIED DIGITAL CORP,COM NEW,038169207,1428000,240000,SH,SOLE,240000,0,0
185,APPLIED DIGITAL CORP,COM NEW,038169207,8812152,1481034,SH,SOLE,1481034,0,0
186,APPLIED INDL TECHNOLOGIES IN,COM,03820C105,11668712,60148,SH,SOLE,60148,0,0
187,APPLIED MATLS INC,COM,038222105,12200683,51700,SH,SOLE,51700,0,0
188,APPLIED MATLS INC,COM,038222105,31127081,131900,SH,SOLE,131900,0,0
189,APPLIED MATLS INC,COM,038222105,35172658,149043,SH,SOLE,149043,0,0
190,APPLIED OPTOELECTRONICS INC,COM,03823U102,455950,55000,SH,SOLE,55000,0,0
191,APPLOVIN CORP,COM CL A,03831W108,1248300,15000,SH,SOLE,15000,0,0
192,APPLOVIN CORP,COM CL A,03831W108,2080500,25000,SH,SOLE,25000,0,0
193,APPLOVIN CORP,COM CL A,03831W108,50026205,601132,SH,SOLE,601132,0,0
194,ARAMARK,COM,03852U106,47541385,1397454,SH,SOLE,1397454,0,0
195,ARBOR REALTY TRUST INC,NOTE  7.500% 8/0,038923BA5,13479884,13446000,PRN,SOLE,13446000,0,0
196,ARCBEST CORP,COM,03937C105,18126609,169281,SH,SOLE,169281,0,0
197,ARCH CAP GROUP LTD,ORD,G0450A105,73156045,725107,SH,SOLE,725107,0,0
198,ARCH RESOURCES INC,CL A,03940R107,999694,6567,SH,SOLE,6567,0,0
199,ARCHER AVIATION INC,COM CL A,03945R102,232500,66051,SH,SOLE,66051,0,0
200,ARCHER DANIELS MIDLAND CO,COM,039483102,314340,5200,SH,SOLE,5200,0,0
201,ARCHER DANIELS MIDLAND CO,COM,039483102,7852455,129900,SH,SOLE,129900,0,0
202,ARCOS DORADOS HOLDINGS INC,SHS CLASS -A -,G0457F107,469404,52156,SH,SOLE,52156,0,0
203,ARCOSA INC,COM,039653100,2801992,33593,SH,SOLE,33593,0,0
204,ARCTURUS THERAPEUTICS HLDGS,COM,03969T109,1021409,41947,SH,SOLE,41947,0,0
205,ARCUTIS BIOTHERAPEUTICS INC,COM,03969K108,4067467,437362,SH,SOLE,437362,0,0
206,ARDMORE SHIPPING CORP,COM,Y0207T100,443098,19667,SH,SOLE,19667,0,0
207,ARES CAPITAL CORP,COM,04010L103,8729480,418881,SH,SOLE,418881,0,0
208,ARES COML REAL ESTATE CORP,COM,04013V108,6731363,1012235,SH,SOLE,1012235,0,0
209,ARES MANAGEMENT CORPORATION,CL A COM STK,03990B101,811142,6086,SH,SOLE,6086,0,0
210,ARGENX SE,SPONSORED ADR,04016X101,19422327,45164,SH,SOLE,45164,0,0
211,ARHAUS INC,COM CL A,04035M102,215019,12693,SH,SOLE,12693,0,0
212,ARIS WATER SOLUTIONS INC,CLASS A COM,04041L106,503665,32142,SH,SOLE,32142,0,0
213,ARISTA NETWORKS INC,COM,040413106,559016,1595,SH,SOLE,1595,0,0
214,ARISTA NETWORKS INC,COM,040413106,1401920,4000,SH,SOLE,4000,0,0
215,ARK ETF TR,INNOVATION ETF,00214Q104,1971773,44864,SH,SOLE,44864,0,0
216,ARK ETF TR,INNOVATION ETF,00214Q104,3085290,70200,SH,SOLE,70200,0,0
217,ARLO TECHNOLOGIES INC,COM,04206A101,232855,17857,SH,SOLE,17857,0,0
218,ARM HOLDINGS PLC,SPONSORED ADS,042068205,696039,4254,SH,SOLE,4254,0,0
219,ARM HOLDINGS PLC,SPONSORED ADS,042068205,834462,5100,SH,SOLE,5100,0,0
220,ARM HOLDINGS PLC,SPONSORED ADS,042068205,10144440,62000,SH,SOLE,62000,0,0
221,ARMADA HOFFLER PPTYS INC,COM,04208T108,245987,22181,SH,SOLE,22181,0,0
222,ARMSTRONG WORLD INDS INC NEW,COM,04247X102,17509395,154622,SH,SOLE,154622,0,0
223,ARRAY TECHNOLOGIES INC,COM SHS,04271T100,7644613,745089,SH,SOLE,745089,0,0
224,ARROW ELECTRS INC,COM,042735100,979605,8112,SH,SOLE,8112,0,0
225,ARS PHARMACEUTICALS INC,COM,82835W108,224111,26335,SH,SOLE,26335,0,0
226,ARTESIAN RES CORP,CL A,043113208,327867,9325,SH,SOLE,9325,0,0
227,ARTIVION INC,COM,228903100,551449,21499,SH,SOLE,21499,0,0
228,ASANA INC,CL A,04342Y104,8474610,605762,SH,SOLE,605762,0,0
229,ASBURY AUTOMOTIVE GROUP INC,COM,043436104,4791422,21027,SH,SOLE,21027,0,0
230,ASCENDIS PHARMA A/S,NOTE  2.250% 4/0,04351PAD3,27930163,25000000,PRN,SOLE,25000000,0,0
231,ASCENDIS PHARMA A/S,SPONSORED ADR,04351P101,575660,4221,SH,SOLE,4221,0,0
232,ASGN INC,COM,00191U102,560497,6357,SH,SOLE,6357,0,0
233,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,1652407,1600,SH,SOLE,1600,0,0
234,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,17866655,17300,SH,SOLE,17300,0,0
235,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,195103134,190767,SH,SOLE,190767,0,0
236,ASPEN TECHNOLOGY INC,COM,29109X106,5821647,29309,SH,SOLE,29309,0,0
237,ASSERTIO HOLDINGS INC,COM NEW,04546C205,24851,20041,SH,SOLE,20041,0,0
238,ASSURANT INC,COM,04621X108,28830244,173415,SH,SOLE,173415,0,0
239,ASSURED GUARANTY LTD,COM,G0585R106,2625183,34027,SH,SOLE,34027,0,0
240,ASTRANA HEALTH INC,COM NEW,03763A207,463479,11427,SH,SOLE,11427,0,0
241,ASTRAZENECA PLC,SPONSORED ADR,046353108,56153034,720003,SH,SOLE,720003,0,0
242,ASTRIA THERAPEUTICS INC,COM,04635X102,462062,50776,SH,SOLE,50776,0,0
243,AT&T INC,COM,00206R102,1255527,65700,SH,SOLE,65700,0,0
244,AT&T INC,COM,00206R102,2956317,154700,SH,SOLE,154700,0,0
245,AT&T INC,COM,00206R102,120901307,6326599,SH,SOLE,6326599,0,0
246,ATI INC,COM,01741R102,62150689,1120842,SH,SOLE,1120842,0,0
247,ATKORE INC,COM,047649108,4160432,30834,SH,SOLE,30834,0,0
248,ATLANTIC UN BANKSHARES CORP,COM,04911A107,1032475,31430,SH,SOLE,31430,0,0
249,ATLANTICA SUSTAINABLE INFR P,SHS,G0751N103,22001956,1002367,SH,SOLE,1002367,0,0
250,ATLASSIAN CORPORATION,CL A,049468101,226230,1279,SH,SOLE,1279,0,0
251,ATLASSIAN CORPORATION,CL A,049468101,353760,2000,SH,SOLE,2000,0,0
252,ATMUS FILTRATION TECHNOLOGIE,COM,04956D107,58460929,2031304,SH,SOLE,2031304,0,0
253,ATOUR LIFESTYLE HLDGS LTD,SPONSORED ADS,04965M106,439354,23943,SH,SOLE,23943,0,0
254,AUGMEDIX INC,COM,05105P107,1099756,1249723,SH,SOLE,1249723,0,0
255,AUTODESK INC,COM,052769106,14847000,60000,SH,SOLE,60000,0,0
256,AUTODESK INC,COM,052769106,15787310,63800,SH,SOLE,63800,0,0
257,AUTODESK INC,COM,052769106,166838214,674230,SH,SOLE,674230,0,0
258,AUTOLUS THERAPEUTICS PLC,SPON ADS,05280R100,77402,22242,SH,SOLE,22242,0,0
259,AUTOMATIC DATA PROCESSING IN,COM,053015103,35159037,147300,SH,SOLE,147300,0,0
260,AUTOMATIC DATA PROCESSING IN,COM,053015103,80402010,336847,SH,SOLE,336847,0,0
261,AUTONATION INC,COM,05329W102,26060064,163509,SH,SOLE,163509,0,0
262,AUTOZONE INC,COM,053332102,723240,244,SH,SOLE,244,0,0
263,AVADEL PHARMACEUTICALS PLC,COM SHS,G29687103,3997244,284299,SH,SOLE,284299,0,0
264,AVALONBAY CMNTYS INC,COM,053484101,11593909,56039,SH,OTR,56039,0,0
265,AVALONBAY CMNTYS INC,COM,053484101,68672377,331927,SH,SOLE,331927,0,0
266,AVANGRID INC,COM,05351W103,6940643,195346,SH,SOLE,195346,0,0
267,AVANTOR INC,COM,05352A100,27538079,1298966,SH,SOLE,1298966,0,0
268,AVEPOINT INC,COM CL A,053604104,513737,49303,SH,SOLE,49303,0,0
269,AVID BIOSERVICES INC,COM,05368M106,241218,33784,SH,SOLE,33784,0,0
270,AVISTA CORP,COM,05379B107,3672156,106101,SH,SOLE,106101,0,0
271,AVNET INC,COM,053807103,16768336,325662,SH,SOLE,325662,0,0
272,AXIS CAP HLDGS LTD,SHS,G0692U109,31190703,441482,SH,SOLE,441482,0,0
273,AXON ENTERPRISE INC,COM,05464C101,5628223,19128,SH,SOLE,19128,0,0
274,AXONICS INC,COM,05465P101,23199123,345071,SH,SOLE,345071,0,0
275,AZEK CO INC,CL A,05478C105,144381364,3427044,SH,SOLE,3427044,0,0
276,AZUL S A,SPONSR ADR PFD,05501U106,318132,79533,SH,SOLE,79533,0,0
277,AZZ INC,COM,002474104,10048371,130076,SH,SOLE,130076,0,0
278,B. RILEY FINANCIAL INC,COM,05580M108,283210,16055,SH,SOLE,16055,0,0
279,B2GOLD CORP,COM,11777Q209,400213,148227,SH,SOLE,148227,0,0
280,BABCOCK & WILCOX ENTERPRISES,COM,05614L209,24579,16951,SH,SOLE,16951,0,0
281,BAIDU INC,SPON ADR REP A,056752108,951280,11000,SH,SOLE,11000,0,0
282,BAIDU INC,SPON ADR REP A,056752108,1011816,11700,SH,SOLE,11700,0,0
283,BAIDU INC,SPON ADR REP A,056752108,4928322,56988,SH,SOLE,56988,0,0
284,BAKER HUGHES COMPANY,CL A,05722G100,93829937,2667897,SH,SOLE,2667897,0,0
285,BALCHEM CORP,COM,057665200,625961,4066,SH,SOLE,4066,0,0
286,BALL CORP,COM,058498106,96003611,1599527,SH,SOLE,1599527,0,0
287,BANCFIRST CORP,COM,05945F103,866476,9880,SH,SOLE,9880,0,0
288,BANCO BRADESCO S A,SP ADR PFD NEW,059460303,56717,25320,SH,SOLE,25320,0,0
289,BANCO MACRO SA,SPON ADR B,05961W105,588378,10263,SH,SOLE,10263,0,0
290,BANCORP INC DEL,COM,05969A105,7536292,199584,SH,SOLE,199584,0,0
291,BANDWIDTH INC,COM CL A,05988J103,259277,15360,SH,SOLE,15360,0,0
292,BANK AMERICA CORP,COM,060505104,14810348,372400,SH,SOLE,372400,0,0
293,BANK AMERICA CORP,COM,060505104,49625006,1247800,SH,SOLE,1247800,0,0
294,BANK AMERICA CORP,COM,060505104,121450063,3053811,SH,SOLE,3053811,0,0
