,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole,votingAuthorityShared,votingAuthorityNone
100,ALLOGENE THERAPEUTICS INC,COM,019770106,95287,21317,SH,SOLE,21317,0,0
101,ALLSTATE CORP,COM,020002101,1341693,7755,SH,SOLE,7755,0,0
102,ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,677158,4531,SH,OTR,0,4531,0
103,ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,42308697,283096,SH,SOLE,283096,0,0
104,ALPHA METALLURGICAL RESOUR I,COM,020764106,409326,1236,SH,SOLE,1236,0,0
105,ALPHA TEKNOVA INC,COM,02080L102,2771023,1045669,SH,SOLE,1045669,0,0
106,ALPHABET INC,CAP STK CL A,02079K305,42924492,284400,SH,SOLE,284400,0,0
107,ALPHABET INC,CAP STK CL A,02079K305,71148402,471400,SH,SOLE,471400,0,0
108,ALPHABET INC,CAP STK CL A,02079K305,219199110,1452323,SH,SOLE,1452323,0,0
109,ALPHABET INC,CAP STK CL C,02079K107,9135295,59998,SH,SOLE,59998,0,0
110,ALPHABET INC,CAP STK CL C,02079K107,26493240,174000,SH,SOLE,174000,0,0
111,ALPHABET INC,CAP STK CL C,02079K107,43576812,286200,SH,SOLE,286200,0,0
112,ALPINE IMMUNE SCIENCES INC,COM,02083G100,14785522,372995,SH,SOLE,372995,0,0
113,ALTA EQUIPMENT GROUP INC,COMMON STOCK,02128L106,487529,37647,SH,SOLE,37647,0,0
114,ALTAIR ENGR INC,COM CL A,021369103,7836893,90968,SH,SOLE,90968,0,0
115,ALTICE USA INC,CL A,02156K103,10327880,3957042,SH,SOLE,3957042,0,0
116,ALTO INGREDIENTS INC,COM,021513106,117140,53734,SH,SOLE,53734,0,0
117,ALTRIA GROUP INC,COM,02209S103,17448000,400000,SH,SOLE,400000,0,0
118,ALTRIA GROUP INC,COM,02209S103,193715853,4440987,SH,SOLE,4440987,0,0
119,AMAZON COM INC,COM,023135106,656583,3640,SH,OTR,0,3640,0
120,AMAZON COM INC,COM,023135106,27778520,154000,SH,SOLE,154000,0,0
121,AMAZON COM INC,COM,023135106,162161620,899000,SH,SOLE,899000,0,0
122,AMAZON COM INC,COM,023135106,462257120,2562685,SH,SOLE,2562685,0,0
123,AMBARELLA INC,SHS,G037AX101,4370840,86091,SH,SOLE,86091,0,0
124,AMC ENTMT HLDGS INC,CL A NEW,00165C302,5512203,1481775,SH,SOLE,1481775,0,0
125,AMCOR PLC,ORD,G0250X107,352564,37073,SH,SOLE,37073,0,0
126,AMDOCS LTD,SHS,G02602103,10490330,116082,SH,SOLE,116082,0,0
127,AMER SOFTWARE INC,CL A,029683109,270128,23592,SH,SOLE,23592,0,0
128,AMER SPORTS INC,COM SHS,G0260P102,11035605,677031,SH,SOLE,677031,0,0
129,AMER STATES WTR CO,COM,029899101,1135396,15717,SH,SOLE,15717,0,0
130,AMERESCO INC,CL A,02361E108,9063276,375602,SH,SOLE,375602,0,0
131,AMERICA MOVIL SAB DE CV,SPON ADS RP CL B,02390A101,700963,37565,SH,SOLE,37565,0,0
132,AMERICAN AIRLS GROUP INC,COM,02376R102,587905,38300,SH,SOLE,38300,0,0
133,AMERICAN AIRLS GROUP INC,COM,02376R102,9380385,611100,SH,SOLE,611100,0,0
134,AMERICAN AIRLS GROUP INC,COM,02376R102,88988801,5797316,SH,SOLE,5797316,0,0
135,AMERICAN ASSETS TR INC,COM,024013104,660170,30131,SH,SOLE,30131,0,0
136,AMERICAN AXLE & MFG HLDGS IN,COM,024061103,1985139,269720,SH,SOLE,269720,0,0
137,AMERICAN BATTERY TECHNOLOGY,COM NEW,02451V309,25359,14491,SH,SOLE,14491,0,0
138,AMERICAN CENTY ETF TR,EMERGING MKT VAL,025072372,11093051,234080,SH,OTR,0,234080,0
139,AMERICAN CENTY ETF TR,US SML CP VALU,025072877,3959154,42249,SH,OTR,0,42249,0
140,AMERICAN EAGLE OUTFITTERS IN,COM,02553E106,100760602,3906964,SH,SOLE,3906964,0,0
141,AMERICAN EQTY INVT LIFE HLD,COM,025676206,67989769,1209352,SH,SOLE,1209352,0,0
142,AMERICAN EXPRESS CO,COM,025816109,1837003,8068,SH,SOLE,8068,0,0
143,AMERICAN EXPRESS CO,COM,025816109,11338962,49800,SH,SOLE,49800,0,0
144,AMERICAN EXPRESS CO,COM,025816109,33561506,147400,SH,SOLE,147400,0,0
145,AMERICAN FINL GROUP INC OHIO,COM,025932104,11443984,83851,SH,SOLE,83851,0,0
146,AMERICAN HEALTHCARE REIT INC,COM SHS,398182303,21616066,1465496,SH,SOLE,1465496,0,0
147,AMERICAN HOMES 4 RENT,CL A,02665T306,18265169,496606,SH,SOLE,496606,0,0
148,AMERICAN INTL GROUP INC,COM NEW,026874784,167077275,2137358,SH,SOLE,2137358,0,0
149,AMERICAN NATL BANKSHARES INC,COM,027745108,1583960,33165,SH,SOLE,33165,0,0
150,AMERICAN PUB ED INC,COM,02913V103,197721,13924,SH,SOLE,13924,0,0
151,AMERICAN SUPERCONDUCTOR CORP,SHS NEW,030111207,704547,52150,SH,SOLE,52150,0,0
152,AMERICAN TOWER CORP NEW,COM,03027X100,2743537,13885,SH,SOLE,13885,0,0
153,AMERICAN WTR WKS CO INC NEW,COM,030420103,65309635,534405,SH,SOLE,534405,0,0
154,AMERICAS CAR-MART INC,COM,03062T105,1558556,24402,SH,SOLE,24402,0,0
155,AMERICAS GOLD AND SILVER COR,COM,03062D100,6942,31554,SH,SOLE,31554,0,0
156,AMERICOLD REALTY TRUST INC,COM,03064D108,33148260,1330187,SH,SOLE,1330187,0,0
157,AMERIPRISE FINL INC,COM,03076C106,689228,1572,SH,OTR,0,1572,0
158,AMERIPRISE FINL INC,COM,03076C106,30447466,69445,SH,SOLE,69445,0,0
159,AMGEN INC,COM,031162100,398048,1400,SH,SOLE,1400,0,0
160,AMGEN INC,COM,031162100,1191301,4190,SH,SOLE,4190,0,0
161,AMKOR TECHNOLOGY INC,COM,031652100,3249985,100806,SH,SOLE,100806,0,0
162,AMN HEALTHCARE SVCS INC,COM,001744101,6397836,102349,SH,SOLE,102349,0,0
163,AMPHENOL CORP NEW,CL A,032095101,78749214,682698,SH,SOLE,682698,0,0
164,ANALOG DEVICES INC,COM,032654105,488146,2468,SH,SOLE,2468,0,0
165,ANALOG DEVICES INC,COM,032654105,15862758,80200,SH,SOLE,80200,0,0
166,ANALOG DEVICES INC,COM,032654105,16990161,85900,SH,SOLE,85900,0,0
167,ANAPTYSBIO INC,COM,032724106,354600,15746,SH,SOLE,15746,0,0
168,ANAVEX LIFE SCIENCES CORP,COM NEW,032797300,422877,83080,SH,SOLE,83080,0,0
169,ANGIODYNAMICS INC,COM,03475V101,147261,25087,SH,SOLE,25087,0,0
170,ANSYS INC,COM,03662Q105,138970925,400308,SH,SOLE,400308,0,0
171,ANTERO MIDSTREAM CORP,COM,03676B102,269080,19138,SH,SOLE,19138,0,0
172,ANTERO RESOURCES CORP,COM,03674X106,110595792,3813648,SH,SOLE,3813648,0,0
173,ANYWHERE REAL ESTATE INC,COM,75605Y106,7801490,1262377,SH,SOLE,1262377,0,0
174,AON PLC,SHS CL A,G0403H108,300348,900,SH,SOLE,900,0,0
175,AON PLC,SHS CL A,G0403H108,300348,900,SH,SOLE,900,0,0
176,AON PLC,SHS CL A,G0403H108,5140623,15404,SH,SOLE,15404,0,0
177,APA CORPORATION,COM,03743Q108,8701303,253092,SH,SOLE,253092,0,0
178,APARTMENT INVT & MGMT CO,CL A,03748R747,9638500,1176862,SH,SOLE,1176862,0,0
179,APELLIS PHARMACEUTICALS INC,COM,03753U106,723876,12315,SH,OTR,0,12315,0
180,APELLIS PHARMACEUTICALS INC,COM,03753U106,12927368,219928,SH,SOLE,219928,0,0
181,APOGEE ENTERPRISES INC,COM,037598109,1227157,20729,SH,SOLE,20729,0,0
182,APOGEE THERAPEUTICS INC,COM,03770N101,236628,3561,SH,SOLE,3561,0,0
183,APOLLO GLOBAL MGMT INC,COM,03769M106,90813720,807592,SH,SOLE,807592,0,0
184,APPIAN CORP,CL A,03782L101,6487520,162391,SH,SOLE,162391,0,0
185,APPLE HOSPITALITY REIT INC,COM NEW,03784Y200,43160219,2634934,SH,SOLE,2634934,0,0
186,APPLE INC,COM,037833100,41626084,242746,SH,SOLE,242746,0,0
187,APPLE INC,COM,037833100,382383252,2229900,SH,SOLE,2229900,0,0
188,APPLE INC,COM,037833100,617636664,3601800,SH,SOLE,3601800,0,0
189,APPLIED INDL TECHNOLOGIES IN,COM,03820C105,18835405,95345,SH,SOLE,95345,0,0
190,APPLIED MATLS INC,COM,038222105,4009524,19442,SH,SOLE,19442,0,0
191,APPLIED MATLS INC,COM,038222105,25325044,122800,SH,SOLE,122800,0,0
192,APPLIED MATLS INC,COM,038222105,43844498,212600,SH,SOLE,212600,0,0
193,APPLOVIN CORP,COM CL A,03831W108,345892,4997,SH,SOLE,4997,0,0
194,APTARGROUP INC,COM,038336103,30500076,211968,SH,SOLE,211968,0,0
195,ARBOR REALTY TRUST INC,COM,038923108,673074,50798,SH,SOLE,50798,0,0
196,ARBOR REALTY TRUST INC,NOTE 7.500% 8/0,038923BA5,19745238,20000000,PRN,SOLE,20000000,0,0
197,ARCBEST CORP,COM,03937C105,14678070,103004,SH,SOLE,103004,0,0
198,ARCH CAP GROUP LTD,ORD,G0450A105,31266628,338237,SH,SOLE,338237,0,0
199,ARCH RESOURCES INC,CL A,03940R107,878074,5461,SH,SOLE,5461,0,0
200,ARCHER DANIELS MIDLAND CO,COM,039483102,7926622,126200,SH,SOLE,126200,0,0
201,ARCOS DORADOS HOLDINGS INC,SHS CLASS -A -,G0457F107,1068565,96094,SH,SOLE,96094,0,0
202,ARCOSA INC,COM,039653100,3551170,41360,SH,SOLE,41360,0,0
203,ARCUTIS BIOTHERAPEUTICS INC,COM,03969K108,7737530,780780,SH,SOLE,780780,0,0
204,ARDAGH METAL PACKAGING S A,SHS,L02235106,23050,6720,SH,SOLE,6720,0,0
205,ARDAGH METAL PACKAGING S A,SHS,L02235106,650376,189614,SH,OTR,0,189614,0
206,ARES COML REAL ESTATE CORP,COM,04013V108,8118570,1089741,SH,SOLE,1089741,0,0
207,ARES MANAGEMENT CORPORATION,CL A COM STK,03990B101,1618633,12172,SH,SOLE,12172,0,0
208,ARGENX SE,SPONSORED ADR,04016X101,22460151,57046,SH,SOLE,57046,0,0
209,ARISTA NETWORKS INC,COM,040413106,87216415,300767,SH,SOLE,300767,0,0
210,ARK ETF TR,INNOVATION ETF,00214Q104,1133911,22642,SH,SOLE,22642,0,0
211,ARK ETF TR,INNOVATION ETF,00214Q104,3640816,72700,SH,SOLE,72700,0,0
212,ARKO CORP,COM,041242108,103774,18206,SH,SOLE,18206,0,0
213,ARM HOLDINGS PLC,SPONSORED ADR,042068205,637449,5100,SH,SOLE,5100,0,0
214,ARM HOLDINGS PLC,SPONSORED ADR,042068205,1620245,12963,SH,SOLE,12963,0,0
215,ARM HOLDINGS PLC,SPONSORED ADR,042068205,7749380,62000,SH,SOLE,62000,0,0
216,ARMADA HOFFLER PPTYS INC,COM,04208T108,884655,85063,SH,SOLE,85063,0,0
217,ARMOUR RESIDENTIAL REIT INC,COM SHS,042315705,3621769,183195,SH,SOLE,183195,0,0
218,ARROW ELECTRS INC,COM,042735100,13452706,103914,SH,SOLE,103914,0,0
219,ARS PHARMACEUTICALS INC,COM,82835W108,311107,30441,SH,SOLE,30441,0,0
220,ARTERIS INC,COM,04302A104,265665,36293,SH,SOLE,36293,0,0
221,ASANA INC,CL A,04342Y104,3332007,215107,SH,SOLE,215107,0,0
222,ASBURY AUTOMOTIVE GROUP INC,COM,043436104,2788570,11827,SH,SOLE,11827,0,0
223,ASE TECHNOLOGY HLDG CO LTD,SPONSORED ADS,00215W100,1570240,142879,SH,SOLE,142879,0,0
224,ASGN INC,COM,00191U102,6779543,64715,SH,SOLE,64715,0,0
225,ASHLAND INC,COM,044186104,26470327,271853,SH,SOLE,271853,0,0
226,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,2717316,2800,SH,SOLE,2800,0,0
227,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,11354499,11700,SH,SOLE,11700,0,0
228,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,418150291,430874,SH,SOLE,430874,0,0
229,ASP ISOTOPES INC,COM,00218A105,61372,14860,SH,SOLE,14860,0,0
230,ASSURANT INC,COM,04621X108,43638550,231824,SH,SOLE,231824,0,0
231,ASTEC INDS INC,COM,046224101,274062,6270,SH,SOLE,6270,0,0
232,ASTERA LABS INC,COM,04626A103,17829118,240317,SH,SOLE,240317,0,0
233,ASTRAZENECA PLC,SPONSORED ADR,046353108,25122242,370808,SH,SOLE,370808,0,0
234,ASTRIA THERAPEUTICS INC,COM,04635X102,531148,37737,SH,SOLE,37737,0,0
235,AT&T INC,COM,00206R102,621280,35300,SH,SOLE,35300,0,0
236,AT&T INC,COM,00206R102,4716800,268000,SH,SOLE,268000,0,0
237,AT&T INC,COM,00206R102,25040576,1422760,SH,SOLE,1422760,0,0
238,ATI INC,COM,01741R102,29360476,573783,SH,SOLE,573783,0,0
239,ATKORE INC,COM,047649108,24523698,128828,SH,SOLE,128828,0,0
240,ATLANTIC UN BANKSHARES CORP,COM,04911A107,4581049,129738,SH,SOLE,129738,0,0
241,ATLASSIAN CORPORATION,CL A,049468101,390220,2000,SH,SOLE,2000,0,0
242,ATMOS ENERGY CORP,COM,049560105,17127741,144088,SH,SOLE,144088,0,0
243,ATMUS FILTRATION TECHNOLOGIE,COM,04956D107,59911115,1857709,SH,SOLE,1857709,0,0
244,ATOSSA THERAPEUTICS INC,COM,04962H506,77366,42981,SH,SOLE,42981,0,0
245,ATS CORPORATION,COM,00217Y104,215764,6399,SH,SOLE,6399,0,0
246,AUGMEDIX INC,COM,05105P107,4829996,1180928,SH,SOLE,1180928,0,0
247,AUNA S A,CLASS A,L0415A103,1331250,125000,SH,SOLE,125000,0,0
248,AURINIA PHARMACEUTICALS INC,COM,05156V102,1447264,288875,SH,SOLE,288875,0,0
249,AURORA INNOVATION INC,CLASS A COM,051774107,672432,238451,SH,SOLE,238451,0,0
250,AUTODESK INC,COM,052769106,15625200,60000,SH,SOLE,60000,0,0
251,AUTODESK INC,COM,052769106,16823132,64600,SH,SOLE,64600,0,0
252,AUTODESK INC,COM,052769106,111566272,428409,SH,SOLE,428409,0,0
253,AUTOLIV INC,COM,052800109,88958149,738671,SH,SOLE,738671,0,0
254,AUTOLUS THERAPEUTICS PLC,SPON ADS,05280R100,388721,60928,SH,SOLE,60928,0,0
255,AUTOMATIC DATA PROCESSING IN,COM,053015103,29624409,118621,SH,SOLE,118621,0,0
256,AUTOMATIC DATA PROCESSING IN,COM,053015103,63034376,252400,SH,SOLE,252400,0,0
257,AUTONATION INC,COM,05329W102,30945246,186890,SH,SOLE,186890,0,0
258,AUTOZONE INC,COM,053332102,1260660,400,SH,SOLE,400,0,0
259,AUTOZONE INC,COM,053332102,3706340,1176,SH,SOLE,1176,0,0
260,AVADEL PHARMACEUTICALS PLC,SPONSORED ADR,05337M104,5231036,309712,SH,SOLE,309712,0,0
261,AVALONBAY CMNTYS INC,COM,053484101,72364689,389980,SH,SOLE,389980,0,0
262,AVANGRID INC,COM,05351W103,15239718,418214,SH,SOLE,418214,0,0
263,AVANTOR INC,COM,05352A100,68491725,2678597,SH,SOLE,2678597,0,0
264,AVEPOINT INC,COM CL A,053604104,480720,60697,SH,SOLE,60697,0,0
265,AVERY DENNISON CORP,COM,053611109,73306147,328359,SH,SOLE,328359,0,0
266,AVIDITY BIOSCIENCES INC,COM,05370A108,1302924,51055,SH,SOLE,51055,0,0
267,AVIS BUDGET GROUP,COM,053774105,17499779,142902,SH,SOLE,142902,0,0
268,AVISTA CORP,COM,05379B107,1227416,35049,SH,SOLE,35049,0,0
269,AVNET INC,COM,053807103,19537842,394067,SH,SOLE,394067,0,0
270,AXALTA COATING SYS LTD,COM,G0750C108,1262113,36700,SH,SOLE,36700,0,0
271,AXALTA COATING SYS LTD,COM,G0750C108,1341210,39000,SH,SOLE,39000,0,0
272,AXON ENTERPRISE INC,COM,05464C101,10481480,33500,SH,SOLE,33500,0,0
273,AXON ENTERPRISE INC,COM,05464C101,19434541,62115,SH,SOLE,62115,0,0
274,AXONICS INC,COM,05465P101,70105177,1016459,SH,SOLE,1016459,0,0
275,AXSOME THERAPEUTICS INC,COM,05464T104,766559,9606,SH,SOLE,9606,0,0
276,AXT INC,COM,00246W103,65453,14260,SH,SOLE,14260,0,0
277,AZEK CO INC,CL A,05478C105,69123109,1376406,SH,SOLE,1376406,0,0
278,B & G FOODS INC NEW,COM,05508R106,11899579,1040173,SH,SOLE,1040173,0,0
279,BACKBLAZE INC,COM CL A,05637B105,294788,28816,SH,SOLE,28816,0,0
280,BADGER METER INC,COM,056525108,4797019,29646,SH,SOLE,29646,0,0
281,BAIDU INC,SPON ADR REP A,056752108,731275,6946,SH,SOLE,6946,0,0
282,BAKER HUGHES COMPANY,CL A,05722G100,291943187,8714722,SH,SOLE,8714722,0,0
283,BALL CORP,COM,058498106,7977916,118437,SH,SOLE,118437,0,0
284,BANCFIRST CORP,COM,05945F103,1009528,11468,SH,SOLE,11468,0,0
285,BANCO BRADESCO S A,SP ADR PFD NEW,059460303,390258,136454,SH,SOLE,136454,0,0
286,BANCO MACRO SA,SPON ADR B,05961W105,2343812,48647,SH,SOLE,48647,0,0
287,BANK AMERICA CORP,COM,060505104,12445344,328200,SH,SOLE,328200,0,0
288,BANK AMERICA CORP,COM,060505104,40464432,1067100,SH,SOLE,1067100,0,0
289,BANK AMERICA CORP,COM,060505104,233160297,6148742,SH,SOLE,6148742,0,0
290,BANK HAWAII CORP,COM,062540109,7925838,127037,SH,SOLE,127037,0,0
291,BANK NEW YORK MELLON CORP,COM,064058100,539496,9363,SH,SOLE,9363,0,0
292,BANK NOVA SCOTIA HALIFAX,COM,064149107,7560299,146010,SH,SOLE,146010,0,0
293,BARCLAYS PLC,ADR,06738E204,134766,14261,SH,SOLE,14261,0,0
294,BARK INC,COM,68622E104,331525,267359,SH,SOLE,267359,0,0
295,BARRETT BUSINESS SVCS INC,COM,068463108,215804,1703,SH,SOLE,1703,0,0
