,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole,votingAuthorityShared,votingAuthorityNone
71,AGREE RLTY CORP,COM,008492100,161522,2924,SH,OTR,0,2924,0
72,AGREE RLTY CORP,COM,008492100,74634930,1351103,SH,SOLE,1351103,0,0
73,AIR LEASE CORP,CL A,00912X302,39559994,1003806,SH,SOLE,1003806,0,0
74,AIR PRODS & CHEMS INC,COM,009158106,200931,709,SH,OTR,0,709,0
75,AIR PRODS & CHEMS INC,COM,009158106,5668000,20000,SH,SOLE,20000,0,0
76,AIR PRODS & CHEMS INC,COM,009158106,81690900,288253,SH,SOLE,288253,0,0
77,AIRBNB INC,COM CL A,009066101,518928,3782,SH,SOLE,3782,0,0
78,AIRBNB INC,COM CL A,009066101,7587713,55300,SH,SOLE,55300,0,0
79,AIRBNB INC,COM CL A,009066101,32848074,239400,SH,SOLE,239400,0,0
80,AIRSCULPT TECHNOLOGIES INC,COM,009496100,2641608,386200,SH,SOLE,386200,0,0
81,AIRSCULPT TECHNOLOGIES INC,COM,009496100,5307546,775957,SH,SOLE,775957,0,0
82,AKAMAI TECHNOLOGIES INC,COM,00971T101,4772992,44800,SH,SOLE,44800,0,0
83,AKAMAI TECHNOLOGIES INC,COM,00971T101,114418207,1073946,SH,SOLE,1073946,0,0
84,AKERO THERAPEUTICS INC,COM,00973Y108,1986934,39283,SH,SOLE,39283,0,0
85,ALAMO GROUP INC,COM,011311107,867411,5018,SH,SOLE,5018,0,0
86,ALARM COM HLDGS INC,COM,011642105,15652,256,SH,OTR,0,256,0
87,ALARM COM HLDGS INC,COM,011642105,664164,10863,SH,SOLE,10863,0,0
88,ALASKA AIR GROUP INC,COM,011659109,58698,1583,SH,OTR,0,1583,0
89,ALASKA AIR GROUP INC,COM,011659109,8366731,225640,SH,SOLE,225640,0,0
90,ALBEMARLE CORP,COM,012653101,815002,4793,SH,SOLE,4793,0,0
91,ALBEMARLE CORP,COM,012653101,3740880,22000,SH,SOLE,22000,0,0
92,ALBEMARLE CORP,COM,012653101,3740880,22000,SH,SOLE,22000,0,0
93,ALBERTSONS COS INC,COMMON STOCK,013091103,50129420,2203491,SH,SOLE,2203491,0,0
94,ALCOA CORP,COM,013872106,88023,3029,SH,OTR,0,3029,0
95,ALCOA CORP,COM,013872106,1307700,45000,SH,SOLE,45000,0,0
96,ALCOA CORP,COM,013872106,66051607,2272939,SH,SOLE,2272939,0,0
97,ALDEYRA THERAPEUTICS INC,COM,01438T106,451434,67580,SH,SOLE,67580,0,0
98,ALEXANDER & BALDWIN INC NEW,COM,014491104,137136,8197,SH,OTR,0,8197,0
99,ALEXANDER & BALDWIN INC NEW,COM,014491104,7047546,421252,SH,SOLE,421252,0,0
100,ALGOMA STL GROUP INC,COM,015658107,156631,23034,SH,SOLE,23034,0,0
101,ALGONQUIN PWR UTILS CORP,COM,015857105,25888,4373,SH,OTR,0,4373,0
102,ALGONQUIN PWR UTILS CORP,COM,015857105,1596790,269728,SH,SOLE,269728,0,0
103,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,1734800,20000,SH,SOLE,20000,0,0
104,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,3504296,40400,SH,SOLE,40400,0,0
105,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,64557633,744266,SH,SOLE,744266,0,0
106,ALIGN TECHNOLOGY INC,COM,016255101,5110751,16739,SH,SOLE,16739,0,0
107,ALIGN TECHNOLOGY INC,COM,016255101,11907480,39000,SH,SOLE,39000,0,0
108,ALKERMES PLC,SHS,G01767105,360769,12880,SH,OTR,0,12880,0
109,ALLEGIANT TRAVEL CO,COM,01748X102,21193300,275739,SH,SOLE,275739,0,0
110,ALLEGION PLC,ORD SHS,G0176J109,343860,3300,SH,SOLE,3300,0,0
111,ALLEGRO MICROSYSTEMS INC,COM,01749D105,7953,249,SH,OTR,0,249,0
112,ALLEGRO MICROSYSTEMS INC,COM,01749D105,899718,28169,SH,SOLE,28169,0,0
113,ALLETE INC,COM NEW,018522300,4752,90,SH,OTR,0,90,0
114,ALLETE INC,COM NEW,018522300,3234528,61260,SH,SOLE,61260,0,0
115,ALLIANT ENERGY CORP,COM,018802108,2471,51,SH,OTR,0,51,0
116,ALLIANT ENERGY CORP,COM,018802108,15755843,325198,SH,SOLE,325198,0,0
117,ALLIENT INC,COM,019330109,259975,8408,SH,SOLE,8408,0,0
118,ALLY FINL INC,COM,02005N100,239933,8993,SH,OTR,0,8993,0
119,ALLY FINL INC,COM,02005N100,5627532,210927,SH,SOLE,210927,0,0
120,ALPHA & OMEGA SEMICONDUCTOR,SHS,G6331P104,581403,19484,SH,SOLE,19484,0,0
121,ALPHA METALLURGICAL RESOUR I,COM,020764106,3376,13,SH,OTR,0,13,0
122,ALPHA METALLURGICAL RESOUR I,COM,020764106,1462540,5631,SH,SOLE,5631,0,0
123,ALPHA TEKNOVA INC,COM,02080L102,2975457,1066472,SH,SOLE,1066472,0,0
124,ALPHABET INC,CAP STK CL A,02079K305,5117895,39000,SH,SOLE,39000,0,0
125,ALPHABET INC,CAP STK CL A,02079K305,50114538,382500,SH,SOLE,382500,0,0
126,ALPHABET INC,CAP STK CL A,02079K305,114229264,872912,SH,SOLE,872912,0,0
127,ALPHABET INC,CAP STK CL C,02079K107,31917321,242100,SH,SOLE,242100,0,0
128,ALPHABET INC,CAP STK CL C,02079K107,42083748,319200,SH,SOLE,319200,0,0
129,ALPHABET INC,CAP STK CL C,02079K107,48456457,367512,SH,SOLE,367512,0,0
130,ALTAIR ENGR INC,COM CL A,021369103,4581456,73233,SH,SOLE,73233,0,0
131,ALTERYX INC,COM CL A,02156B103,269295,7145,SH,OTR,0,7145,0
132,ALTERYX INC,COM CL A,02156B103,14447293,383319,SH,SOLE,383319,0,0
133,ALTIMMUNE INC,COM NEW,02155H200,2463703,947578,SH,SOLE,947578,0,0
134,ALTRIA GROUP INC,COM,02209S103,239685,5700,SH,SOLE,5700,0,0
135,ALTRIA GROUP INC,COM,02209S103,18999788,451838,SH,SOLE,451838,0,0
136,AMAZON COM INC,COM,023135106,834161,6562,SH,OTR,0,6562,0
137,AMAZON COM INC,COM,023135106,49170016,386800,SH,SOLE,386800,0,0
138,AMAZON COM INC,COM,023135106,120141112,945100,SH,SOLE,945100,0,0
139,AMAZON COM INC,COM,023135106,203575180,1601441,SH,SOLE,1601441,0,0
140,AMCOR PLC,ORD,G0250X107,77851,8499,SH,OTR,0,8499,0
141,AMCOR PLC,ORD,G0250X107,62714087,6846516,SH,SOLE,6846516,0,0
142,AMEDISYS INC,COM,023436108,2568500,27500,SH,SOLE,27500,0,0
143,AMEDISYS INC,COM,023436108,42030000,450000,SH,SOLE,450000,0,0
144,AMER STATES WTR CO,COM,029899101,118728,1509,SH,OTR,0,1509,0
145,AMER STATES WTR CO,COM,029899101,152324,1936,SH,SOLE,1936,0,0
146,AMEREN CORP,COM,023608102,92684139,1238596,SH,SOLE,1238596,0,0
147,AMERESCO INC,CL A,02361E108,3253924,84386,SH,SOLE,84386,0,0
148,AMERICA MOVIL SAB DE CV,SPON ADS RP CL B,02390A101,868546,50147,SH,SOLE,50147,0,0
149,AMERICAN AIRLS GROUP INC,COM,02376R102,11024862,860645,SH,SOLE,860645,0,0
150,AMERICAN AIRLS GROUP INC,COM,02376R102,38254503,2986300,SH,SOLE,2986300,0,0
151,AMERICAN ASSETS TR INC,COM,024013104,107734,5539,SH,OTR,0,5539,0
152,AMERICAN ASSETS TR INC,COM,024013104,10533848,541586,SH,SOLE,541586,0,0
153,AMERICAN EAGLE OUTFITTERS IN,COM,02553E106,23771385,1431149,SH,SOLE,1431149,0,0
154,AMERICAN ELEC PWR CO INC,COM,025537101,809743,10765,SH,OTR,0,10765,0
155,AMERICAN ELEC PWR CO INC,COM,025537101,75092953,998311,SH,SOLE,998311,0,0
156,AMERICAN EQTY INVT LIFE HLD,COM,025676206,44366180,827110,SH,SOLE,827110,0,0
157,AMERICAN EXPRESS CO,COM,025816109,21782,146,SH,OTR,0,146,0
158,AMERICAN EXPRESS CO,COM,025816109,6340575,42500,SH,SOLE,42500,0,0
159,AMERICAN EXPRESS CO,COM,025816109,50709681,339900,SH,SOLE,339900,0,0
160,AMERICAN FINL GROUP INC OHIO,COM,025932104,42161344,377553,SH,SOLE,377553,0,0
161,AMERICAN HOMES 4 RENT,CL A,02665T306,31329881,929946,SH,SOLE,929946,0,0
162,AMERICAN INTL GROUP INC,COM NEW,026874784,339299,5599,SH,OTR,0,5599,0
163,AMERICAN INTL GROUP INC,COM NEW,026874784,37478918,618464,SH,SOLE,618464,0,0
164,AMERICAN NATL BANKSHARES INC,COM,027745108,3779052,99606,SH,SOLE,99606,0,0
165,AMERICAN TOWER CORP NEW,COM,03027X100,73424458,446485,SH,SOLE,446485,0,0
166,AMERICAN WELL CORP,CL A,03044L105,1187510,1014966,SH,SOLE,1014966,0,0
167,AMERICAN WOODMARK CORPORATIO,COM,030506109,911025,12049,SH,SOLE,12049,0,0
168,AMERICAN WTR WKS CO INC NEW,COM,030420103,753506,6085,SH,OTR,0,6085,0
169,AMERIS BANCORP,COM,03076K108,1203718,31355,SH,SOLE,31355,0,0
170,AMETEK INC,COM,031100100,36903651,249754,SH,SOLE,249754,0,0
171,AMGEN INC,COM,031162100,295636,1100,SH,SOLE,1100,0,0
172,AMGEN INC,COM,031162100,943079,3509,SH,OTR,0,3509,0
173,AMGEN INC,COM,031162100,36606725,136206,SH,SOLE,136206,0,0
174,AMICUS THERAPEUTICS INC,COM,03152W109,27190,2236,SH,OTR,0,2236,0
175,AMICUS THERAPEUTICS INC,COM,03152W109,41139663,3383196,SH,SOLE,3383196,0,0
176,AMKOR TECHNOLOGY INC,COM,031652100,2093980,92654,SH,SOLE,92654,0,0
177,AMN HEALTHCARE SVCS INC,COM,001744101,10592048,124349,SH,SOLE,124349,0,0
178,AMNEAL PHARMACEUTICALS INC,COM STK CL A,03168L105,124887,29594,SH,SOLE,29594,0,0
179,AMPHENOL CORP NEW,CL A,032095101,203183401,2419138,SH,SOLE,2419138,0,0
180,AMPLITUDE INC,COM CL A,03213A104,317747,27463,SH,SOLE,27463,0,0
181,AMYLYX PHARMACEUTICALS INC,COM,03237H101,6409,350,SH,OTR,0,350,0
182,AMYLYX PHARMACEUTICALS INC,COM,03237H101,12753483,696531,SH,SOLE,696531,0,0
183,ANALOG DEVICES INC,COM,032654105,315162,1800,SH,SOLE,1800,0,0
184,ANALOG DEVICES INC,COM,032654105,55511409,317045,SH,SOLE,317045,0,0
185,ANAVEX LIFE SCIENCES CORP,COM NEW,032797300,165525,25271,SH,SOLE,25271,0,0
186,ANDERSONS INC,COM,034164103,699660,13583,SH,SOLE,13583,0,0
187,ANGIODYNAMICS INC,COM,03475V101,18765,2567,SH,OTR,0,2567,0
188,ANGIODYNAMICS INC,COM,03475V101,833552,114029,SH,SOLE,114029,0,0
189,ANGLOGOLD ASHANTI PLC,COM SHS,G0378L100,3936001,249114,SH,SOLE,249114,0,0
190,ANIKA THERAPEUTICS INC,COM,035255108,187306,10054,SH,SOLE,10054,0,0
191,ANNALY CAPITAL MANAGEMENT IN,COM NEW,035710839,44321777,2356288,SH,SOLE,2356288,0,0
192,ANSYS INC,COM,03662Q105,42477643,142758,SH,SOLE,142758,0,0
193,ANTERO MIDSTREAM CORP,COM,03676B102,22835641,1906147,SH,SOLE,1906147,0,0
194,ANTERO RESOURCES CORP,COM,03674X106,23654,932,SH,OTR,0,932,0
195,ANTERO RESOURCES CORP,COM,03674X106,90335567,3559321,SH,SOLE,3559321,0,0
196,ANYWHERE REAL ESTATE INC,COM,75605Y106,170421,26504,SH,OTR,0,26504,0
197,AON PLC,SHS CL A,G0403H108,79110,244,SH,OTR,0,244,0
198,AON PLC,SHS CL A,G0403H108,291798,900,SH,SOLE,900,0,0
199,AON PLC,SHS CL A,G0403H108,291798,900,SH,SOLE,900,0,0
200,AON PLC,SHS CL A,G0403H108,12568388,38765,SH,SOLE,38765,0,0
201,APA CORPORATION,COM,03743Q108,16647966,405060,SH,SOLE,405060,0,0
202,APARTMENT INCOME REIT CORP,COM,03750L109,57256,1865,SH,OTR,0,1865,0
203,APARTMENT INCOME REIT CORP,COM,03750L109,10089217,328639,SH,SOLE,328639,0,0
204,APARTMENT INVT & MGMT CO,CL A,03748R747,92677,13629,SH,OTR,0,13629,0
205,APARTMENT INVT & MGMT CO,CL A,03748R747,8705000,1280147,SH,SOLE,1280147,0,0
206,APOGEE ENTERPRISES INC,COM,037598109,36487,775,SH,OTR,0,775,0
207,APOGEE ENTERPRISES INC,COM,037598109,593302,12602,SH,SOLE,12602,0,0
208,APOLLO GLOBAL MGMT INC,COM,03769M106,35670445,397398,SH,SOLE,397398,0,0
209,APOLLO MED HLDGS INC,COM NEW,03763A207,403950,13094,SH,SOLE,13094,0,0
210,APPFOLIO INC,COM CL A,03783C100,272667,1493,SH,OTR,0,1493,0
211,APPIAN CORP,CL A,03782L101,3541799,77654,SH,SOLE,77654,0,0
212,APPLE INC,COM,037833100,2662658,15552,SH,OTR,0,15552,0
213,APPLE INC,COM,037833100,16330352,95382,SH,SOLE,95382,0,0
214,APPLE INC,COM,037833100,152890530,893000,SH,SOLE,893000,0,0
215,APPLE INC,COM,037833100,293744997,1715700,SH,SOLE,1715700,0,0
216,APPLIED MATLS INC,COM,038222105,9553,69,SH,OTR,0,69,0
217,APPLIED MATLS INC,COM,038222105,272242127,1966357,SH,SOLE,1966357,0,0
218,APPLIED OPTOELECTRONICS INC,COM,03823U102,532945,48582,SH,SOLE,48582,0,0
219,APPLOVIN CORP,COM CL A,03831W108,137582,3443,SH,OTR,0,3443,0
220,APPLOVIN CORP,COM CL A,03831W108,1077561,26966,SH,SOLE,26966,0,0
221,APTARGROUP INC,COM,038336103,268211,2145,SH,OTR,0,2145,0
222,APTARGROUP INC,COM,038336103,81252242,649810,SH,SOLE,649810,0,0
223,APTIV PLC,SHS,G6095L109,80937855,820954,SH,SOLE,820954,0,0
224,ARAMARK,COM,03852U106,5211177,150178,SH,SOLE,150178,0,0
225,ARCELORMITTAL SA LUXEMBOURG,NY REGISTRY SH,03938L203,4025775,160838,SH,SOLE,160838,0,0
226,ARCELORMITTAL SA LUXEMBOURG,NY REGISTRY SH,03938L203,11263500,450000,SH,SOLE,450000,0,0
227,ARCHER AVIATION INC,COM CL A,03945R102,295357,58371,SH,SOLE,58371,0,0
228,ARCHER DANIELS MIDLAND CO,COM,039483102,57847,767,SH,SOLE,767,0,0
229,ARCHER DANIELS MIDLAND CO,COM,039483102,257635,3416,SH,OTR,0,3416,0
230,ARCHER DANIELS MIDLAND CO,COM,039483102,18855000,250000,SH,SOLE,250000,0,0
231,ARCHER DANIELS MIDLAND CO,COM,039483102,18855000,250000,SH,SOLE,250000,0,0
232,ARCHROCK INC,COM,03957W106,83551,6631,SH,OTR,0,6631,0
233,ARCHROCK INC,COM,03957W106,384502,30516,SH,SOLE,30516,0,0
234,ARCUS BIOSCIENCES INC,COM,03969F109,8336878,464450,SH,SOLE,464450,0,0
235,ARCUTIS BIOTHERAPEUTICS INC,COM,03969K108,1195,225,SH,OTR,0,225,0
236,ARCUTIS BIOTHERAPEUTICS INC,COM,03969K108,200952,37844,SH,SOLE,37844,0,0
237,ARDAGH METAL PACKAGING S A,SHS,L02235106,31519,10070,SH,SOLE,10070,0,0
238,ARDELYX INC,COM,039697107,269170,65973,SH,SOLE,65973,0,0
239,ARDMORE SHIPPING CORP,COM,Y0207T100,230277,17700,SH,SOLE,17700,0,0
240,ARES COML REAL ESTATE CORP,COM,04013V108,11652,1224,SH,OTR,0,1224,0
241,ARES COML REAL ESTATE CORP,COM,04013V108,2223453,233556,SH,SOLE,233556,0,0
242,ARES MANAGEMENT CORPORATION,CL A COM STK,03990B101,6944548,67508,SH,SOLE,67508,0,0
243,ARGAN INC,COM,04010E109,323556,7108,SH,SOLE,7108,0,0
244,ARGENX SE,SPONSORED ADR,04016X101,45346476,92237,SH,SOLE,92237,0,0
245,ARK ETF TR,INNOVATION ETF,00214Q104,456205,11500,SH,SOLE,11500,0,0
246,ARK ETF TR,INNOVATION ETF,00214Q104,1494766,37680,SH,SOLE,37680,0,0
247,ARK ETF TR,INNOVATION ETF,00214Q104,18248200,460000,SH,SOLE,460000,0,0
248,ARLO TECHNOLOGIES INC,COM,04206A101,203806,19787,SH,OTR,0,19787,0
249,ARM HOLDINGS PLC,SPONSORED ADR,042068205,83203637,1554627,SH,SOLE,1554627,0,0
250,ARROW ELECTRS INC,COM,042735100,4125406,32940,SH,SOLE,32940,0,0
251,ASCENDIS PHARMA A/S,SPONSORED ADR,04351P101,8883440,94868,SH,SOLE,94868,0,0
252,ASE TECHNOLOGY HLDG CO LTD,SPONSORED ADS,00215W100,2221378,295396,SH,SOLE,295396,0,0
253,ASGN INC,COM,00191U102,133710,1637,SH,OTR,0,1637,0
254,ASGN INC,COM,00191U102,819659,10035,SH,SOLE,10035,0,0
255,ASHLAND INC,COM,044186104,1013649,12410,SH,SOLE,12410,0,0
256,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,294330,500,SH,SOLE,500,0,0
257,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,10890210,18500,SH,SOLE,18500,0,0
258,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,29683769,50426,SH,SOLE,50426,0,0
259,ASPEN TECHNOLOGY INC,COM,29109X106,17532861,85836,SH,SOLE,85836,0,0
260,ASSERTIO HOLDINGS INC,COM NEW,04546C205,32991,12887,SH,SOLE,12887,0,0
261,ASSOCIATED BANC CORP,COM,045487105,1403516,82029,SH,SOLE,82029,0,0
262,ASTRAZENECA PLC,SPONSORED ADR,046353108,411060,6070,SH,SOLE,6070,0,0
263,AT&T INC,COM,00206R102,459972,30624,SH,OTR,0,30624,0
264,AT&T INC,COM,00206R102,19468819,1296193,SH,SOLE,1296193,0,0
265,ATI INC,COM,01741R102,42815917,1040484,SH,SOLE,1040484,0,0
266,ATKORE INC,COM,047649108,63853,428,SH,OTR,0,428,0
267,ATKORE INC,COM,047649108,16357938,109645,SH,SOLE,109645,0,0
268,ATLASSIAN CORPORATION,CL A,049468101,611986,3037,SH,OTR,0,3037,0
269,ATLASSIAN CORPORATION,CL A,049468101,71670860,355669,SH,SOLE,355669,0,0
270,ATMOS ENERGY CORP,COM,049560105,1832165,17296,SH,SOLE,17296,0,0
271,ATOUR LIFESTYLE HLDGS LTD,SPONSORED ADS,04965M106,398395,21135,SH,SOLE,21135,0,0
272,AUGMEDIX INC,COM,05105P107,3045035,591269,SH,SOLE,591269,0,0
273,AURINIA PHARMACEUTICALS INC,COM,05156V102,2042174,262828,SH,SOLE,262828,0,0
274,AURORA CANNABIS INC,COM,05156X884,33349,57330,SH,SOLE,57330,0,0
275,AUTODESK INC,COM,052769106,289674,1400,SH,SOLE,1400,0,0
276,AUTODESK INC,COM,052769106,11169002,53980,SH,SOLE,53980,0,0
277,AUTOLIV INC,COM,052800109,27153235,281439,SH,SOLE,281439,0,0
278,AUTOMATIC DATA PROCESSING IN,COM,053015103,53890,224,SH,OTR,0,224,0
279,AUTOMATIC DATA PROCESSING IN,COM,053015103,41282325,171595,SH,SOLE,171595,0,0
280,AUTOMATIC DATA PROCESSING IN,COM,053015103,85429958,355100,SH,SOLE,355100,0,0
281,AUTOZONE INC,COM,053332102,1015996,400,SH,SOLE,400,0,0
282,AUTOZONE INC,COM,053332102,1102356,434,SH,SOLE,434,0,0
283,AVANTAX INC,COM,095229100,1882228,73582,SH,SOLE,73582,0,0
284,AVANTOR INC,COM,05352A100,12437200,590000,SH,SOLE,590000,0,0
285,AVANTOR INC,COM,05352A100,87485478,4150165,SH,SOLE,4150165,0,0
286,AVID BIOSERVICES INC,COM,05368M106,264896,28061,SH,SOLE,28061,0,0
287,AVIDITY BIOSCIENCES INC,COM,05370A108,12886898,2019890,SH,SOLE,2019890,0,0
288,AVIDXCHANGE HOLDINGS INC,COM,05368X102,132805,14009,SH,OTR,0,14009,0
289,AXALTA COATING SYS LTD,COM,G0750C108,16116516,599127,SH,SOLE,599127,0,0
290,AXCELIS TECHNOLOGIES INC,COM NEW,054540208,81199,498,SH,OTR,0,498,0
291,AXCELIS TECHNOLOGIES INC,COM NEW,054540208,1081511,6633,SH,SOLE,6633,0,0
292,AXON ENTERPRISE INC,COM,05464C101,20098,101,SH,OTR,0,101,0
293,AXON ENTERPRISE INC,COM,05464C101,2467476,12400,SH,SOLE,12400,0,0
294,AXON ENTERPRISE INC,COM,05464C101,19262232,96800,SH,SOLE,96800,0,0
295,AXONICS INC,COM,05465P101,8307612,148033,SH,SOLE,148033,0,0
296,AXOS FINANCIAL INC,COM,05465C100,15030,397,SH,OTR,0,397,0
297,AXOS FINANCIAL INC,COM,05465C100,1591294,42031,SH,SOLE,42031,0,0
298,AZUL S A,SPONSR ADR PFD,05501U106,788863,91835,SH,SOLE,91835,0,0
299,B & G FOODS INC NEW,COM,05508R106,3210937,324665,SH,SOLE,324665,0,0
300,B. RILEY FINANCIAL INC,COM,05580M108,222617,5431,SH,SOLE,5431,0,0
